,Links,Judul,Deskripsi,Harga,Rating,Review
48,https://www.airbnb.com/rooms/38168696?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,Modern 3 Bedroom Villa in Private Complex B3,8 guests · 3 bedrooms · 3 beds · 2 baths,$75,4.69, (35 reviews)
49,https://www.airbnb.com/rooms/25598497?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,"101 Villa, a pool house (2 room) at Sentul Bogor.",4 guests · 2 bedrooms · 3 beds · 2 baths,$125,4.94, (49 reviews)
50,https://www.airbnb.com/rooms/46032178?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,Your cozy getaway staycation vacation.,10 guests · 2 bedrooms · 3 beds · 2.5 baths,$84,4.67, (9 reviews)
51,https://www.airbnb.com/rooms/39659708?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,"Top view Villa Moksha at Megamendung, Puncak",16 guests · 5 bedrooms · 12 beds · 5 baths,$155,4.97, (65 reviews)
52,https://www.airbnb.com/rooms/35616615?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,Applewood Cozy&Clean private Room @downtown Bogor,2 guests · 1 bedroom · 1 bed · 1 private bath,$19,4.58, (20 reviews)
53,https://www.airbnb.com/rooms/40810979?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,"Apartemen Bogor Icon, View Gunung, Nyaman - Room 2",2 guests · Studio · 1 bed · 1 private bath,$21,4.53, (15 reviews)
54,https://www.airbnb.com/rooms/34347435?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,S.A.L.T. House - Cozy home for rent at Sentul,6 guests · 2 bedrooms · 1 bed · 2 baths,$105,4.92, (39 reviews)
55,https://www.airbnb.com/rooms/48116694?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,"Villa D'owa, spectacular 180° mountain view",6 guests · 2 bedrooms · 3 beds · 3 baths,$246,4.33, (3 reviews)
56,https://www.airbnb.com/rooms/47917642?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,Beautiful Garden Villa at Vimala Hills Resort,6 guests · 2 bedrooms · 4 beds · 2 baths,$91,5.0, (3 reviews)
57,https://www.airbnb.com/rooms/27802739?previous_page_section_name=1000&translate_ugc=false&federated_search_id=1e102cd3-6380-4711-aa9a-cefdd2c7562e,"La Première Villa Dasha 
Luxury Villa @ Sentul",8 guests · 4 bedrooms · 4 beds · 5 baths,$278,4.84, (58 reviews)
